V.1.1.C.A. Matriculación por tipos de vehículos y Comunidades Autónomas. Año 2019.;;;;;;;;;
;;;;;;;;;
COMUNIDADES AUTÓNOMAS;"Camiones
<= 3500";Furgonetas;"Camiones >
3500";Autobuses;Turismos;Motocicletas;Tractores;Otros;Total
Andalucía;7545;11843;1536;365;149897;34838;2966;1492;210482
Aragón;1299;2371;240;101;26323;3269;667;186;34456
Asturias (Principado de);562;1461;171;72;20390;2183;208;281;25328
Balears (Illes);2211;2982;205;159;56774;6213;50;48;68642
Canarias;8742;4033;391;309;61173;8617;115;607;83987
Cantabria;433;815;89;16;13762;1752;417;69;17353
Castilla y León;1799;3454;465;142;40300;3759;997;495;51411
Castilla-La Mancha;5061;8613;552;120;91872;4278;1170;137;111803
Cataluña;9652;19045;2077;735;212163;45835;1957;2457;293921
Comunitat Valenciana;5344;8292;1034;206;158943;19198;1950;998;195965
Extremadura;833;1038;204;52;15355;1813;340;39;19674
Galicia;1560;3746;567;202;44187;5300;918;646;57126
Madrid (Comunidad de);17289;48509;2058;782;385237;32992;3553;968;491388
Murcia (Región de);1611;2405;569;28;31098;5259;1983;298;43251
Navarra (Comunidad Foral de);639;1403;117;63;13188;1423;469;221;17523
País Vasco;1812;3159;331;276;45393;5356;585;1091;58003
Rioja (La);312;573;175;17;5865;584;163;52;7741
Ceuta y Melilla;47;281;17;5;3461;1258;2;20;5091
Total;66751;124023;10798;3650;1375381;183927;18510;10105;1793145
