V.1.11 Matriculaciones de motocicletas por distintivo medioambiental. Año 2021.;;;;;;
;;;;;;
Provincias;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;29;0;670;5;9;6
Albacete;734;0;924;2;11;22
Alicante/Alacant;101;14;6.647;8;208;65
Almería;20;5;1.437;4;39;23
Ávila;0;0;89;0;4;6
Badajoz;18;1;1.391;5;5;9
Balears (Illes);206;11;4.869;0;63;76
Barcelona;1.767;8;31.328;46;70;339
Burgos;46;0;564;4;6;11
Cáceres;12;0;686;2;3;0
Cádiz;228;1;6.708;6;41;30
Castellón/Castelló;71;3;1.115;4;23;29
Ciudad Real;16;0;626;2;7;23
Córdoba;155;1;3.774;7;8;12
Coruña (A);93;2;1.572;3;42;29
Cuenca;10;1;122;0;3;3
Girona;156;2;3.810;1;31;36
Granada;44;5;4.286;2;52;24
Guadalajara;4;1;401;0;3;11
Gipuzkoa;80;2;2.382;4;13;14
Huelva;337;1;1.509;1;4;20
Huesca;5;0;182;3;3;23
Jaén;19;1;1.026;0;10;22
León;32;2;837;1;20;17
Lleida;17;0;1.117;3;7;11
Rioja (La);8;0;557;1;2;5
Lugo;12;1;411;1;9;6
Madrid;1.202;8;21.867;53;101;428
Málaga;376;6;9.051;5;156;47
Murcia;75;9;4.881;10;108;62
Navarra;36;3;1.419;5;15;11
Ourense;2;0;342;5;19;7
Asturias;53;2;2.260;10;15;33
Palencia;1;1;120;0;1;4
Palmas (Las);81;7;3.472;3;25;22
Pontevedra;39;0;3.012;2;35;38
Salamanca;1;0;478;6;7;1
Santa Cruz de Tenerife;51;7;4.414;4;47;10
Cantabria;43;0;1.746;3;17;17
Segovia;66;0;4.882;2;12;30
Sevilla;120;1;4.616;12;27;46
Soria;1;0;118;1;1;2
Tarragona;131;5;2.853;3;23;26
Teruel;0;0;151;0;6;3
Toledo;51;3;1.008;4;16;21
Valencia/València;371;4;8.859;8;75;93
Valladolid;31;0;1.343;6;13;11
Bizkaia;61;1;2.490;7;12;16
Zamora;1;0;128;0;1;3
Zaragoza;111;0;2.728;5;14;67
Ceuta;6;0;747;0;2;1
Melilla;20;0;553;0;4;0
Total;7.150;119;162.578;269;1.448;1.871
