V.1.10 Matriculaciones de turismos por distintivo medioambiental. Año 2018.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;47;191;6669;499;60;686
Albacete;20;298;6025;358;59;525
Alicante/Alacant;172;3649;74116;2542;783;4262
Almería;27;1084;9978;626;274;24
Ávila;13;42;1645;176;17;13
Badajoz;104;605;11462;602;78;16
Balears (Illes);298;808;47791;1878;420;5248
Barcelona;1636;2166;136617;15469;647;13631
Burgos;35;253;6871;863;60;213
Cáceres;6;244;3063;312;63;7
Cádiz;42;1153;18501;1644;808;105
Castellón/Castelló;20;513;14559;757;126;2458
Ciudad Real;21;173;6336;314;52;24
Córdoba;44;1210;11891;749;84;18
Coruña (A);117;1583;18870;2341;199;197
Cuenca;1;90;1182;44;29;6
Girona;109;849;14743;1448;201;936
Granada;51;1468;12385;1071;235;29
Guadalajara;75;158;5003;279;56;8
Gipuzkoa;45;372;12798;679;77;492
Huelva;8;378;6092;358;85;67
Huesca;29;107;4857;211;58;136
Jaén;24;1077;9753;328;141;30
León;25;498;6118;600;104;196
Lleida;44;309;7657;501;92;340
Rioja (La);11;328;5505;516;55;439
Lugo;27;240;5960;344;63;28
Madrid;5155;5439;332631;36060;791;20862
Málaga;139;2788;35719;2707;709;1221
Murcia;100;3157;26463;1731;598;145
Navarra;72;985;11667;740;174;268
Ourense;18;546;4790;395;160;89
Asturias;98;611;17986;1116;205;1539
Palencia;6;50;1561;21;20;34
Palmas (Las);213;328;38793;1301;185;1537
Pontevedra;81;1081;12308;345;228;67
Salamanca;24;239;6725;2357;36;108
Santa Cruz de Tenerife;102;588;22106;612;305;37
Cantabria;80;423;12416;837;112;262
Segovia;10;46;1607;159;21;1
Sevilla;113;488;35274;2532;173;50
Soria;6;23;1334;83;12;4
Tarragona;97;966;15724;1245;300;428
Teruel;10;35;2145;124;9;13
Toledo;1510;1176;53263;1962;153;1273
Valencia/València;280;1912;52954;1927;426;1816
Valladolid;63;628;8155;817;45;50
Bizkaia;141;893;19659;1427;137;1645
Zamora;8;125;1641;157;44;5
Zaragoza;121;625;14888;1250;130;3704
Ceuta;5;152;1080;58;147;1
Melilla;6;240;1281;84;340;7
Total;11509;43390;1198617;95556;10386;65300
